# Undirected graph (each unordered pair of nodes is saved once): email-Enron-subgraph-edge.txt
# Save as tab-separated list of edges
# Nodes: 12231 Edges: 18453
# NodeId	NodeId
3	6
9	81
9	273
9	390
9	1053
9	1725
9	8556
9	8565
9	9129
9	9132
9	9135
15	102
15	1806
32784	36099
18	8565
21	78
21	189
21	204
27	72
27	75
27	93
27	102
27	195
27	402
27	873
27	939
27	1161
27	1287
27	1371
27	1821
27	1824
27	1935
27	2253
27	2718
27	3237
27	4398
27	4755
27	5046
27	6828
27	6831
39	81
39	93
39	342
39	5025
39	8556
39	8559
42	93
42	9861
45	75
45	81
45	93
45	102
45	114
45	342
45	8556
45	8559
54	75
54	78
54	81
54	84
54	87
54	90
54	93
54	96
54	99
54	102
54	105
54	108
54	111
54	114
54	117
54	120
54	123
54	126
54	129
54	132
54	135
54	138
54	141
54	144
54	147
54	150
54	153
54	156
54	159
54	162
54	165
54	168
60	273
60	1725
60	9129
69	588
72	81
72	180
72	195
72	213
72	219
72	255
72	300
72	312
72	315
72	336
72	354
72	426
72	471
72	480
72	504
72	510
72	516
72	519
72	528
72	549
72	558
72	576
72	588
72	594
72	621
72	645
72	672
72	735
72	744
72	1176
72	1185
72	1308
72	1338
72	1422
72	1458
72	1461
72	1464
72	1476
72	1548
72	1599
72	1623
72	1647
72	1653
72	1665
72	1761
72	1824
72	2001
72	2568
72	2577
72	2580
72	2592
72	2595
72	2619
72	2631
72	2643
72	2706
72	2775
72	2793
72	3108
72	3117
72	3138
72	3147
72	3237
72	3792
72	3915
72	4038
72	4056
72	4131
72	4206
72	4539
72	4677
72	4740
72	5145
72	5148
72	5220
72	5223
72	5463
72	5478
72	5481
72	5733
72	5754
72	5775
72	5829
72	5877
72	5880
72	5883
72	6570
72	6678
72	6786
72	6957
72	7155
72	7188
72	7641
72	7665
72	7680
72	7821
72	7938
72	8346
72	8349
72	8352
72	8355
72	8358
72	8361
72	8364
72	8367
72	8370
72	8373
72	8376
72	8379
72	8382
72	8385
72	8388
72	8391
72	8394
72	8397
72	8400
72	8403
72	8406
72	8409
72	8412
72	8415
72	8418
72	8421
72	8424
72	8427
75	78
75	93
75	156
75	183
75	186
75	195
75	228
75	240
75	264
75	300
75	345
75	378
75	402
75	417
75	420
75	426
75	441
75	447
75	462
75	465
75	528
75	603
75	672
75	687
75	720
75	783
75	882
75	918
75	951
75	960
75	1053
75	1068
75	1203
75	1248
75	1365
75	1419
75	1560
75	1566
75	1572
75	1584
75	1776
75	1821
75	1833
75	1836
75	1899
75	1902
75	1935
75	2091
75	2175
75	2328
75	2529
75	2919
75	3021
75	3060
75	4392
75	4398
75	4503
75	4572
75	4677
75	4815
75	5052
75	5517
75	6834
75	8580
75	9867
75	9870
75	9873
75	9876
75	9879
78	87
78	90
78	93
78	102
78	111
78	114
78	138
78	156
78	165
78	168
78	171
78	174
78	177
78	180
78	183
78	186
78	189
78	192
78	195
78	198
78	201
78	204
78	207
78	210
78	213
78	216
78	219
78	222
78	225
78	228
78	231
78	234
78	237
78	240
78	243
78	246
78	249
78	252
78	255
78	258
78	261
78	264
78	267
78	270
78	273
78	276
78	279
78	282
78	285
78	288
78	291
78	294
78	297
78	300
78	303
78	306
78	309
78	312
78	315
78	318
78	321
78	324
78	327
78	330
78	333
78	336
78	339
78	342
78	345
78	348
78	351
78	354
78	357
78	360
78	363
78	366
78	369
78	372
78	375
78	378
78	381
78	384
78	387
78	390
78	393
78	396
78	399
78	402
78	405
78	408
78	411
78	414
78	417
78	420
78	423
78	426
78	429
78	432
78	435
78	438
78	441
78	444
78	447
78	450
78	453
78	456
78	459
78	462
78	465
78	468
81	102
81	114
81	138
81	165
81	180
81	360
81	378
81	465
81	549
81	672
81	870
81	918
81	1074
81	1767
81	1833
81	1890
81	1893
81	1935
81	2118
81	2253
81	2337
81	2433
81	2592
81	2892
81	4404
81	4410
81	4431
81	5802
81	6654
81	9138
81	9141
81	9144
81	9147
81	9150
81	9153
81	9156
81	9159
84	87
84	186
84	462
84	534
84	678
84	813
84	1071
84	1404
84	2148
84	2211
84	4584
84	10110
87	114
87	192
87	462
87	528
87	1902
87	2031
87	2211
87	4305
87	4584
87	4587
87	4590
90	93
90	114
90	156
90	165
90	168
90	246
90	264
90	273
90	345
90	378
90	402
90	417
90	420
90	423
90	441
90	543
90	591
90	615
90	711
90	762
90	780
90	792
90	813
90	864
90	879
90	888
90	894
90	915
90	930
90	939
90	1032
90	1035
90	1041
90	1044
90	1194
90	1224
90	1413
90	1443
90	1470
90	1782
90	1875
90	1899
90	1962
90	2256
90	2724
90	2931
90	2997
90	3933
90	3981
90	4086
90	4131
90	4275
90	4353
90	4530
90	4578
90	4704
90	4863
90	4869
90	5052
90	5517
90	6057
90	6156
90	6336
90	6429
90	6609
90	6891
90	6960
90	7302
90	7398
90	7503
90	8130
90	8211
90	8850
90	8883
90	8904
90	9147
90	9426
90	9486
90	9909
90	10611
90	10707
90	11490
90	11493
90	11496
90	11499
90	11502
90	11505
90	11508
90	11511
90	11514
90	11517
90	11520
90	11523
90	11526
90	11529
90	11532
90	11535
90	11538
90	11541
90	11544
90	11547
90	11550
90	11553
90	11556
90	11559
90	11562
90	11565
90	11568
90	11571
90	11574
90	11577
90	11580
90	11583
90	11586
90	11589
90	11592
90	11595
90	11598
93	102
93	132
93	165
93	168
93	183
93	186
93	195
93	198
93	228
93	240
93	246
93	249
93	252
93	261
93	264
93	273
93	279
93	291
93	309
93	318
93	327
93	342
93	345
93	357
93	378
93	402
93	408
93	417
93	420
93	423
93	429
93	441
93	447
93	465
93	489
93	570
93	672
93	762
93	780
93	783
93	828
93	864
93	873
93	879
93	882
93	888
93	906
93	909
93	915
93	918
93	930
93	933
93	1032
93	1035
93	1068
93	1071
93	1095
93	1098
93	1122
93	1137
93	1167
93	1224
93	1233
93	1341
93	1470
93	1515
93	1560
93	1566
93	1662
93	1695
93	1764
93	1788
93	1800
93	1833
93	1899
93	1911
93	1926
93	1929
93	1935
93	1962
93	1998
93	2058
93	2070
93	2271
93	2454
93	2472
93	2478
93	2487
93	2499
93	2502
93	2505
93	2538
93	2553
93	2733
93	2766
93	2931
93	3012
93	3237
93	3669
93	4134
93	4239
